,ECG_RA,ECG_LA,GSR,EEG,emotion
43,2043.0,2051.0,34463.0,4471.245421245421,anger
44,2047.0,2044.0,34520.0,4462.8937728937735,anger
45,2047.0,2030.0,52774.0,4497.069597069598,anger
46,2073.0,2070.0,34494.0,4474.285714285715,anger
47,2071.0,2059.0,52901.0,4467.692307692308,anger
48,2028.0,2050.0,18123.0,4489.19413919414,anger
49,2030.0,2047.0,18348.0,4464.615384615386,anger
50,2034.0,2044.0,18432.0,4473.882783882785,anger
51,2037.0,2046.0,18007.0,4494.688644688646,anger
52,2027.0,2043.0,18353.0,4478.0219780219795,anger
53,2051.0,2058.0,34791.0,4452.783882783884,anger
54,2041.0,2051.0,35004.0,4426.886446886447,anger
55,2047.0,2061.0,52658.0,4465.641025641026,anger
56,2048.0,2057.0,34878.0,4459.85347985348,anger
57,2063.0,2071.0,18060.0,4442.197802197803,anger
58,2076.0,2091.0,18029.0,4449.487179487181,anger
59,2091.0,2096.0,18103.0,4457.582417582418,anger
60,2096.0,2123.0,19632.0,4453.809523809524,anger
61,2095.0,2102.5,18047.0,4467.985347985349,anger
62,1983.0,1991.0,18039.0,4500.3663003663005,anger
63,2058.0,2070.0,34513.0,4440.659340659342,anger
64,2068.0,2076.0,50746.0,,anger
65,2056.0,2053.0,50582.0,4453.040293040294,anger
66,2040.0,2046.0,51643.0,4457.802197802199,anger
67,2052.0,2066.0,51547.0,4454.688644688645,anger
68,2037.0,2046.0,51029.0,4483.369963369964,anger
69,2058.0,2063.0,51206.0,4447.435897435898,anger
70,2049.0,2061.0,18627.0,,anger
71,2055.0,2063.0,18653.0,4424.249084249084,anger
72,2051.0,2068.0,18401.0,,anger
73,2142.0,2156.0,18219.0,,anger
74,2111.0,2123.0,18402.0,,anger
75,2087.0,2099.0,18280.0,,anger
76,2071.0,2076.0,18632.0,4453.113553113553,anger
77,2051.0,2058.0,18708.0,4451.904761904762,anger
78,2044.0,2049.0,18877.0,4467.142857142858,anger
79,2062.0,2066.0,18735.0,4450.6959706959715,anger
80,2028.0,2080.0,18615.0,4451.080586080587,anger
81,2055.0,2063.0,35156.0,4420.25641025641,anger
82,2083.0,2096.0,35249.0,4389.04761904762,anger
83,2067.0,2089.0,35104.0,4386.556776556777,anger
84,2102.0,2111.0,35347.0,4423.040293040293,anger
85,2032.0,2039.0,50615.0,4400.07326007326,anger
86,2098.0,2081.0,18415.0,4404.102564102564,anger
87,2048.0,2061.0,18502.0,4441.025641025642,anger
88,2056.0,2069.0,18484.0,4442.380952380953,anger
89,2033.0,2052.0,51655.0,4449.743589743591,anger
90,2034.0,2052.0,51561.0,4473.003663003664,anger
91,2034.0,2054.0,51414.0,4478.168498168498,anger
92,2042.0,2058.0,51636.0,4365.824175824176,anger
93,2048.0,2067.0,51782.0,4384.835164835165,anger
94,2037.0,2057.0,51940.0,4391.318681318681,anger
95,2037.0,2054.0,51427.0,4446.703296703298,anger
96,2039.0,2055.0,51607.0,4446.666666666668,anger
97,2071.0,2085.0,34580.0,4445.091575091576,anger
98,2060.0,2076.0,34894.0,4433.6263736263745,anger
99,2087.0,2096.0,34508.0,4409.670329670331,anger
100,2062.0,2064.0,35185.0,4462.490842490844,anger
101,2073.0,2069.0,34986.0,4471.0989010989015,anger
102,2066.0,2065.0,34857.0,4499.047619047619,anger
103,2056.0,2052.0,34856.0,4495.677655677658,anger
104,2062.0,2068.0,35079.0,4475.8974358974365,anger
105,2070.0,2071.0,34909.0,4494.065934065935,anger
106,2065.0,2079.0,18034.0,,anger
107,2070.0,2083.0,35599.0,4401.025641025642,anger
108,2074.0,2086.0,35291.0,4357.106227106227,anger
109,2076.0,2086.0,35126.0,4378.93772893773,anger
110,2045.0,2053.0,52448.0,4448.315018315018,anger
111,2063.0,2058.0,52145.0,4455.860805860806,anger
112,2111.0,2112.0,36187.0,4456.2271062271075,anger
113,2095.0,2088.0,35231.0,4460.915750915751,anger
114,2088.0,2081.0,36051.0,4449.52380952381,anger
115,2013.0,2018.0,17995.0,4425.787545787546,anger
116,2057.0,2065.0,19863.0,4451.575091575092,anger
117,2084.0,2083.0,19713.0,4449.010989010989,anger
118,2069.0,2068.0,19532.0,4458.315018315019,anger
119,2079.0,2073.0,19661.0,4455.641025641026,anger
120,2069.0,2074.0,19497.0,4453.003663003665,anger
121,2065.0,2061.0,18004.0,4475.274725274726,anger
122,2046.0,2048.0,35552.0,4471.648351648352,anger
123,2046.0,2049.0,35889.0,4474.175824175824,anger
124,2050.0,2056.0,18114.0,4464.139194139195,anger
125,2040.0,2053.0,50869.0,4459.6336996336995,disgust
126,2055.0,2062.0,34757.0,4473.388278388279,disgust
127,2057.0,2073.0,52047.0,4474.725274725276,disgust
128,2045.0,2053.0,50786.0,4440.622710622712,disgust
129,,,18304.0,4454.395604395605,disgust
130,2062.0,2062.0,35768.0,4452.710622710622,disgust
131,,,18002.0,4449.23076923077,disgust
132,,,18251.0,4444.835164835165,disgust
133,2035.0,2036.0,18639.0,4458.0952380952385,disgust
134,2086.0,2103.0,19728.0,4449.34065934066,disgust
135,2055.0,2064.0,34476.0,4436.007326007327,disgust
136,2040.0,2036.0,50363.0,4435.750915750917,disgust
137,2077.0,2082.0,35668.0,4446.886446886447,disgust
138,2062.0,2075.0,18471.0,4444.139194139195,disgust
139,2079.0,2090.0,36160.0,4458.809523809524,disgust
140,2071.0,2082.0,17970.0,,disgust
141,2052.0,2056.0,51776.0,4435.274725274727,disgust
142,2059.0,2066.0,35203.0,4462.545787545788,fear
143,2074.0,2080.0,34772.0,4473.003663003664,fear
144,2036.0,2048.0,51244.0,4459.78021978022,fear
145,2023.0,2036.0,51335.0,4466.336996336997,fear
146,2039.0,2051.0,51365.0,4457.545787545789,fear
147,2093.0,2092.0,35574.0,4464.249084249085,fear
148,2037.0,2033.0,35557.0,4442.326007326008,fear
149,2042.0,2051.0,34620.0,4428.205128205128,fear
150,2038.0,2056.0,35008.0,4437.326007326008,fear
151,2046.0,2054.0,50789.0,4390.000000000001,fear
152,2071.0,2070.0,34678.0,4434.871794871796,fear
153,2047.0,2053.0,50858.0,4454.725274725274,fear
154,2063.0,2069.0,35764.0,4431.794871794872,fear
155,2049.0,2062.0,34510.0,4463.260073260074,fear
156,2062.0,2073.0,52811.0,4475.824175824177,fear
157,2056.0,2066.0,52857.0,4465.897435897436,fear
158,2035.0,2052.0,18440.0,4469.04761904762,fear
159,2035.0,2047.0,18123.0,4479.59706959707,fear
160,2056.0,2061.0,34630.0,4486.080586080587,fear
161,2039.0,2050.0,34815.0,4487.728937728939,fear
162,2053.0,2069.0,34606.0,4466.007326007326,fear
163,2039.0,2052.0,35027.0,4458.498168498169,fear
164,2052.0,2052.0,18165.0,4440.989010989011,fear
165,2091.0,2098.0,18067.0,4484.487179487181,fear
166,2084.0,2098.0,18923.0,4452.197802197802,fear
167,2037.5,2048.0,18139.0,4475.8974358974365,fear
168,2064.0,2071.0,51620.0,4455.750915750917,fear
169,2035.0,2043.0,18631.0,4423.553113553115,fear
170,2053.0,2069.0,18523.0,,fear
171,2063.0,2072.0,18832.0,4454.358974358975,fear
172,2055.0,2065.0,18773.0,4457.3626373626375,fear
173,2018.0,2016.0,35332.0,4428.681318681319,fear
174,2036.0,2055.0,51589.0,4465.860805860807,fear
175,2037.0,2053.0,51404.0,4471.648351648352,fear
176,2088.0,2096.0,35206.0,4437.472527472527,fear
177,2042.0,2051.0,34943.0,4455.274725274726,fear
178,2053.0,2059.0,34699.0,4469.45054945055,fear
179,2075.0,2092.0,18052.0,,fear
180,2080.0,2090.0,35026.0,4403.369963369963,fear
181,2055.0,2060.0,52370.0,4424.835164835165,fear
182,2060.0,2063.0,52257.0,4448.717948717949,fear
183,2038.0,2056.0,18029.0,4406.172161172161,fear
184,2070.0,2074.0,19569.0,4445.750915750916,fear
185,2043.0,2049.0,18172.0,4445.531135531137,fear
186,2040.0,2052.0,34479.0,4443.626373626374,happiness
187,2042.0,2055.0,50723.0,4438.937728937729,happiness
188,2046.0,2054.0,50819.0,4443.406593406594,happiness
189,2027.0,2043.0,18197.0,4477.380952380953,happiness
190,2041.0,2054.0,18503.0,4459.780219780221,happiness
191,2058.0,2059.0,35366.0,4489.963369963371,happiness
192,2043.0,2046.0,35068.0,4368.937728937729,happiness
193,2031.0,2054.0,35000.0,4459.92673992674,happiness
194,2048.0,2054.0,18269.0,4458.86446886447,happiness
195,1973.0,1957.0,18608.0,4425.201465201465,happiness
196,2045.0,2053.0,52855.0,4439.084249084251,happiness
197,2044.0,2050.0,50723.0,4501.0989010989015,happiness
198,2049.0,2059.0,18207.0,4520.805860805862,happiness
199,2054.0,2060.0,18913.0,4460.512820512821,happiness
200,2046.0,2058.0,35759.0,4416.043956043957,happiness
201,2090.0,2099.0,35476.0,4426.6300366300375,happiness
202,2047.0,2057.0,18441.0,4454.322344322345,happiness
203,2040.0,2055.0,51369.0,4444.3589743589755,happiness
204,2071.0,2083.0,18231.0,,happiness
205,2058.0,2067.0,35483.0,4382.985347985348,happiness
206,2100.0,2100.0,35403.0,4405.934065934068,happiness
207,2056.0,2058.0,52315.0,4454.468864468865,happiness
208,2020.0,2007.0,35927.0,4439.267399267399,happiness
209,2139.0,2136.0,34845.0,4482.197802197803,happiness
210,2032.0,2043.0,18356.0,4445.714285714287,happiness
211,2047.0,2059.0,35141.0,4466.520146520147,neutral
212,2064.0,2074.0,34793.0,4475.531135531136,neutral
213,2043.0,2051.0,35739.0,4463.846153846154,neutral
214,2037.0,2049.0,51050.0,4457.179487179487,neutral
215,2041.0,2046.0,35413.0,4439.67032967033,neutral
216,2045.0,2056.0,35041.0,4451.684981684983,neutral
217,2051.0,2053.0,35680.5,4438.021978021979,neutral
218,2087.0,2084.0,35168.0,4442.307692307692,neutral
219,2086.0,2084.0,35221.0,4455.641025641026,neutral
220,2039.0,2049.0,35395.0,4443.772893772895,neutral
221,2045.0,2070.0,17986.0,4471.941391941393,neutral
222,2041.0,2036.0,50715.0,4458.974358974358,neutral
223,2054.0,2061.0,51046.0,4390.915750915751,neutral
224,2039.0,2047.0,50698.0,4462.747252747254,neutral
225,2088.0,2092.0,34888.0,4449.5604395604405,neutral
226,2085.0,2084.0,35108.0,4448.589743589744,neutral
227,2043.0,2050.0,51786.0,4444.065934065934,neutral
228,2044.0,2050.0,51620.0,4456.336996336997,neutral
229,2063.0,2070.0,17975.0,4452.637362637363,neutral
230,,,18090.0,4454.194139194139,neutral
231,2079.0,2095.0,34957.0,4461.098901098901,neutral
232,2059.0,2071.0,35280.0,4457.765567765569,neutral
233,2034.0,2049.0,36036.0,4454.5604395604405,neutral
234,2050.0,2066.0,35413.0,4474.871794871796,neutral
235,2050.0,2056.0,35604.0,4450.622710622711,neutral
236,2064.0,2061.0,35087.0,4469.340659340661,neutral
237,2047.0,2053.0,35882.0,4434.3589743589755,neutral
238,2056.0,2061.0,35202.0,4471.446886446886,neutral
239,2050.0,2038.0,35014.0,4462.930402930403,neutral
240,2044.0,2055.0,35983.0,4453.6263736263745,neutral
241,2039.0,2055.0,36063.0,4455.311355311355,neutral
242,2038.0,2047.0,52436.0,4485.879120879121,neutral
243,2050.0,2058.0,34522.0,4474.578754578755,neutral
244,2042.0,2031.0,34465.0,4457.875457875458,neutral
245,2050.0,2067.0,52623.0,4475.347985347986,neutral
246,2066.0,2078.0,52304.0,4483.992673992675,neutral
247,2048.0,2051.0,34508.0,4476.410256410259,neutral
248,2079.0,2075.0,52595.0,4474.578754578755,neutral
249,2031.0,2040.0,18399.0,4467.142857142858,neutral
250,2027.0,2044.0,18411.0,4466.538461538463,neutral
251,2041.0,2047.0,34548.0,4487.509157509158,neutral
252,2040.0,2047.0,34575.0,4425.604395604397,neutral
253,2059.0,2063.0,34650.0,4477.692307692308,neutral
254,2054.0,2056.0,34846.0,4362.1611721611725,neutral
255,2053.0,2059.0,34679.0,4488.553113553115,neutral
256,2043.0,2047.0,34704.0,4431.648351648352,neutral
257,2019.0,2027.0,35257.0,4410.03663003663,neutral
258,2069.0,2079.0,52628.5,4459.908424908425,neutral
259,2071.0,2085.0,18011.0,4447.289377289378,neutral
260,2067.0,2079.0,35862.0,4501.8315018315025,neutral
261,2073.0,2085.0,18027.0,4453.516483516484,neutral
262,2066.0,2077.0,18027.0,4446.593406593407,neutral
263,2052.0,2061.0,34627.0,4455.274725274727,neutral
264,2054.0,2063.0,34592.0,4436.813186813187,neutral
265,2042.0,2039.0,50409.0,4466.153846153847,neutral
266,2055.0,2070.0,18523.0,,neutral
267,2117.0,2134.0,18240.0,,neutral
268,2087.0,2105.0,17953.0,4663.186813186814,neutral
269,2051.0,2062.0,18828.0,4449.6336996336995,neutral
270,2057.0,2064.0,18753.0,4458.901098901099,neutral
271,2061.0,2063.0,35826.0,4452.4908424908435,neutral
272,2049.0,2060.0,35692.0,4456.410256410257,neutral
273,2144.0,2143.0,35179.0,4414.249084249084,neutral
274,2034.0,2042.0,50582.0,4384.78021978022,neutral
275,2036.0,2046.0,50545.0,4397.326007326009,neutral
276,2042.0,2048.0,50714.0,4349.816849816851,neutral
277,2041.0,2047.0,50582.0,4383.864468864469,neutral
278,2059.0,2050.0,51351.0,4345.091575091576,neutral
279,2047.0,2045.0,50663.0,4407.637362637363,neutral
280,2102.0,2087.0,18425.0,4439.084249084249,neutral
281,2039.0,2055.0,51325.0,4445.970695970697,neutral
282,2041.0,2053.0,51714.0,4435.054945054946,neutral
283,2041.0,2047.0,34719.0,4494.395604395605,neutral
284,2045.0,2051.0,35320.0,4495.311355311356,neutral
285,2035.0,2043.0,35725.0,4445.347985347985,neutral
286,2054.0,2061.0,35956.0,4420.952380952381,neutral
287,2071.0,2075.0,35188.0,4384.542124542125,neutral
288,2069.0,2086.0,34801.0,4302.747252747253,neutral
289,2066.0,2063.0,35286.0,4392.4908424908435,neutral
290,2069.0,2071.0,34990.0,4393.516483516484,neutral
291,2068.0,2062.0,51912.0,4441.062271062271,neutral
292,2039.0,2039.0,50544.0,4460.18315018315,neutral
293,2114.5,2109.0,35562.0,4456.208791208792,neutral
294,2103.0,2097.0,34999.0,4473.369963369964,neutral
295,2101.0,2100.0,36088.0,4445.787545787546,neutral
296,2087.0,2087.0,35169.0,4467.655677655678,neutral
297,2015.0,2019.0,18423.0,4441.758241758243,neutral
298,2091.0,2080.0,18270.0,4434.945054945055,neutral
299,2047.0,2038.0,18291.0,4434.139194139195,neutral
300,2043.0,2045.0,18506.0,4448.901098901099,neutral
301,2052.0,2048.0,18347.0,4432.838827838829,neutral
302,2024.0,2027.0,18379.0,4450.0,neutral
303,2034.0,2035.0,18237.0,4448.021978021979,neutral
304,2079.0,2079.0,19805.0,4448.168498168498,neutral
305,2066.0,2066.0,19637.0,4461.062271062271,neutral
306,2039.0,2043.0,18108.0,4469.12087912088,neutral
307,2049.0,2053.0,17968.0,4466.666666666667,neutral
308,2044.0,2048.0,18163.0,4450.805860805862,neutral
309,2048.0,2051.0,18022.0,4472.820512820514,neutral
310,2035.0,2039.0,35887.0,4448.241758241759,sadness
311,,,18050.0,4449.85347985348,sadness
312,2045.0,2029.0,34460.0,4466.813186813187,sadness
313,2039.0,2055.0,18504.0,4472.710622710624,sadness
314,2055.0,2057.0,34904.0,4423.461538461539,sadness
315,2042.0,2056.0,18521.0,4413.626373626374,sadness
316,2047.0,2057.0,18630.0,4433.406593406594,sadness
317,2058.0,2069.0,18782.0,4461.465201465202,sadness
318,2053.0,2048.0,35899.0,4448.937728937729,sadness
319,2067.0,2075.0,18443.0,4426.080586080588,sadness
320,2085.0,2097.0,34553.0,4515.347985347986,sadness
321,2073.0,2081.0,36039.0,4446.886446886447,sadness
322,2059.0,2064.0,18200.0,,sadness
323,2061.0,2065.0,35817.0,4406.813186813187,sadness
324,2051.0,2059.0,36030.0,4422.197802197802,sadness
325,2123.0,2109.0,35152.0,4468.901098901099,sadness
326,2073.0,2076.0,19495.0,4474.505494505494,sadness
327,2046.0,2052.0,18353.0,4441.721611721612,sadness
328,2036.0,2036.0,35826.0,4449.45054945055,surprise
329,2042.0,2048.0,35812.0,4445.091575091576,surprise
330,2042.0,2037.0,34786.0,4390.586080586081,surprise
331,2041.0,2052.0,52799.0,4438.644688644689,surprise
332,2040.0,2050.0,51664.0,4447.985347985348,surprise
333,2033.0,2034.0,35882.0,4458.974358974359,surprise
334,2023.0,2025.0,35439.0,4411.941391941392,surprise
335,2051.0,2051.0,19285.0,4434.981684981685,surprise
336,2032.0,2033.0,50457.0,4450.531135531136,surprise
337,2016.0,2018.0,50884.0,,surprise
338,2069.0,2079.0,18832.0,4454.212454212455,surprise
339,2053.0,2060.0,18235.0,,surprise
340,2053.0,2060.0,35982.0,4427.271062271061,surprise
341,2068.0,2075.0,35432.0,4391.428571428572,surprise
342,2036.0,2053.0,35280.0,4451.684981684983,surprise
343,2011.0,2037.0,18195.0,4406.630036630037,surprise
